"","filename","sentences","wordtypes","swordtypes","lextypes","slextypes","wordtokens","swordtokens","lextokens","slextokens","ld","ls1","ls2","vs1","vs2","cvs1","ndw","ndwz","ndwerz","ndwesz","ttr","msttr","cttr","rttr","logttr","uber","lv","vv1","svv1","cvv1","vv2","nv","adjv","advv","modv"
"137","Gerald Ford - Nixon Pardon",1111,709,420,71,52,14389,12239,4073,3986,0.28,0.98,0.59,0.03,0.47,0.48,709,17,33.3,25.5,0.05,0.52,4.18,5.91,0.69,13.22,0.02,0.04,0.69,0.59,0,0.01,0,0,0.01
"138","Gerald Ford - Oath of Office",883,668,409,72,46,11421,9750,3238,3127,0.28,0.97,0.61,0.04,0.47,0.48,668,17,33.6,26.8,0.06,0.53,4.42,6.25,0.7,13.35,0.02,0.06,0.94,0.68,0.01,0.01,0,0,0.01
"139","Geraldine Ferraro - VP Acceptance Address",1795,930,532,89,56,23222,19707,6629,6472,0.29,0.98,0.57,0.02,0.28,0.37,930,17,31.4,27.4,0.04,0.53,4.32,6.1,0.68,13.64,0.01,0.03,0.46,0.48,0,0.01,0,0,0
"140","Gilmore78",1392,718,401,68,45,18025,15174,5094,4968,0.28,0.98,0.56,0.02,0.34,0.41,718,17,32.1,24.4,0.04,0.52,3.78,5.35,0.67,12.94,0.01,0.03,0.44,0.47,0,0.01,0,0,0
"141","Gilmore99",1020,600,342,61,44,13207,11148,3756,3692,0.28,0.98,0.57,0.03,0.55,0.53,600,17,34.1,26.4,0.05,0.52,3.69,5.22,0.67,12.65,0.02,0.04,0.63,0.56,0,0.01,0,0,0
"142","Gingrich105",2751,1094,608,112,61,35646,30293,9974,9735,0.28,0.98,0.56,0.01,0.13,0.26,1094,17,32.1,26.7,0.03,0.53,4.1,5.79,0.67,13.7,0.01,0.01,0.18,0.3,0,0.01,0,0,0.01
"143","Gingrich109",3836,1321,739,137,81,49713,42143,14025,13655,0.28,0.97,0.56,0.01,0.18,0.3,1321,17,33.9,27,0.03,0.53,4.19,5.92,0.66,14,0.01,0.01,0.26,0.36,0,0,0,0,0
"144","Gingrich113",3768,1362,810,133,83,48832,41636,13811,13461,0.28,0.97,0.59,0.01,0.13,0.25,1362,17,34,26,0.03,0.53,4.36,6.16,0.67,14.14,0.01,0.01,0.25,0.35,0,0,0,0,0.01
"145","Gingrich117",2892,1177,668,134,84,37457,31947,10645,10393,0.28,0.98,0.57,0.02,0.35,0.42,1177,17,33.2,26.4,0.03,0.53,4.3,6.08,0.67,13.92,0.01,0.02,0.49,0.49,0,0.01,0,0,0.01
"146","Gingrich121",2181,1071,639,104,64,28255,24024,8032,7823,0.28,0.97,0.6,0.01,0.17,0.29,1071,17,33.6,26.5,0.04,0.53,4.51,6.37,0.68,13.94,0.01,0.02,0.26,0.36,0,0.01,0,0,0.01
"147","Gingrich126",1693,888,514,94,55,21911,18691,6189,6033,0.28,0.97,0.58,0.01,0.13,0.26,888,17,32.8,25.8,0.04,0.52,4.24,6,0.68,13.53,0.02,0.02,0.19,0.31,0,0.01,0,0.01,0.01
"148","Gingrich132",1606,890,515,77,50,20795,17687,5880,5734,0.28,0.98,0.58,0.02,0.23,0.34,890,17,33.1,25.4,0.04,0.52,4.36,6.17,0.68,13.62,0.01,0.02,0.27,0.37,0,0.01,0,0,0
"149","Gingrich139",2681,1132,638,117,80,34717,29612,9912,9674,0.29,0.98,0.56,0.02,0.37,0.43,1132,17,33.7,27.2,0.03,0.53,4.3,6.08,0.67,13.87,0.01,0.02,0.56,0.53,0,0,0,0,0.01
"150","Gingrich146",2616,1136,652,101,67,33860,28827,9565,9349,0.28,0.98,0.57,0.01,0.09,0.21,1136,17,33.7,26.6,0.03,0.53,4.37,6.17,0.67,13.92,0.01,0.01,0.11,0.23,0,0,0,0,0.01
"151","Gingrich153",1557,807,446,82,54,20177,17130,5691,5566,0.28,0.98,0.55,0.01,0.14,0.27,807,17,34.7,26.9,0.04,0.53,4.02,5.68,0.68,13.26,0.01,0.02,0.21,0.32,0,0.01,0,0,0.01
"152","Gingrich161",1496,793,458,89,52,19358,16548,5364,5221,0.28,0.97,0.58,0.02,0.16,0.28,793,17,32,26.3,0.04,0.53,4.03,5.7,0.68,13.24,0.02,0.02,0.23,0.34,0,0.01,0,0.01,0.01
"153","Gingrich169",1413,807,451,82,48,18300,15528,5185,5051,0.28,0.97,0.56,0.02,0.16,0.28,807,17,33.1,26,0.04,0.52,4.22,5.97,0.68,13.4,0.02,0.02,0.23,0.34,0,0.01,0,0.01,0.01
"154","Gingrich177",1516,785,443,83,58,19635,16704,5511,5368,0.28,0.97,0.56,0.02,0.19,0.31,785,17,33.3,26.6,0.04,0.52,3.96,5.6,0.67,13.18,0.02,0.02,0.26,0.36,0,0.01,0,0,0.01
"155","Gingrich184",1211,748,450,71,47,15692,13320,4419,4313,0.28,0.98,0.6,0.02,0.23,0.34,748,17,33.6,26.6,0.05,0.53,4.22,5.97,0.68,13.32,0.02,0.02,0.27,0.37,0,0.01,0,0.01,0.01
"156","Gingrich192",952,692,414,71,48,12331,10528,3473,3401,0.28,0.98,0.6,0.03,0.35,0.42,692,17,31.9,25.1,0.06,0.53,4.41,6.23,0.69,13.38,0.02,0.04,0.62,0.55,0,0.01,0,0,0.01
"157","Gingrich201",1229,698,388,71,47,15917,13456,4450,4334,0.28,0.97,0.56,0.02,0.23,0.34,698,17,32.8,27.4,0.04,0.52,3.91,5.53,0.68,13,0.02,0.03,0.37,0.43,0,0.01,0,0,0.01
"158","Gingrich209",1091,694,400,65,43,14127,11960,4051,3960,0.29,0.98,0.58,0.03,0.37,0.43,694,17,31.5,26,0.05,0.53,4.13,5.84,0.68,13.16,0.02,0.03,0.55,0.52,0,0.01,0,0,0
"159","Gingrich217",1532,842,484,80,51,19850,16918,5617,5475,0.28,0.97,0.57,0.02,0.27,0.37,842,17,33.3,26.4,0.04,0.52,4.23,5.98,0.68,13.46,0.01,0.02,0.31,0.39,0,0.01,0,0,0.01
"160","Gingrich225",1751,840,483,95,64,22681,19252,6350,6164,0.28,0.97,0.57,0.02,0.22,0.33,840,17,32.4,26.7,0.04,0.53,3.94,5.58,0.67,13.25,0.01,0.02,0.25,0.36,0,0.01,0,0.01,0.01
"161","Giuliani265",2134,850,462,82,49,27635,23368,7654,7453,0.28,0.97,0.54,0.01,0.21,0.32,850,17,33.4,26.1,0.03,0.53,3.62,5.11,0.66,13.05,0.01,0.02,0.27,0.37,0,0.01,0,0,0
"162","Giuliani270",1878,922,547,78,53,24336,20496,6864,6699,0.28,0.98,0.59,0.01,0.17,0.29,922,17,32.8,27.2,0.04,0.53,4.18,5.91,0.68,13.53,0.01,0.02,0.23,0.34,0,0.01,0,0,0
"163","Giuliani276",1801,804,440,74,48,23300,19863,6557,6445,0.28,0.98,0.55,0.01,0.13,0.25,804,17,33.3,26.6,0.03,0.53,3.72,5.27,0.67,13.05,0.01,0.02,0.18,0.3,0,0.01,0,0,0
"164","Giuliani284",3154,1164,684,115,73,40839,34854,11588,11256,0.28,0.97,0.59,0.01,0.15,0.27,1164,17,33.4,26.9,0.03,0.53,4.07,5.76,0.66,13.76,0.01,0.01,0.22,0.33,0,0,0,0,0
"165","Giuliani292",1617,764,414,70,47,20944,17849,5964,5848,0.28,0.98,0.54,0.02,0.17,0.29,764,17,34.1,27.4,0.04,0.52,3.73,5.28,0.67,12.98,0.01,0.02,0.24,0.35,0,0.01,0,0,0
